session_id,pred_tactics,true_tactics,metrics
09640f62f4b1,"['INITIAL_ACCESS', 'EXECUTION', 'PERSISTENCE', 'PRIVILEGE_ESCALATION']","['INITIAL_ACCESS', 'DISCOVERY', 'COMMAND_AND_CONTROL', 'IMPACT', 'PERSISTENCE']","{'execution_precision': 0.0, 'execution_recall': 0.0, 'execution_f1_score': 0.0, 'initial_access_precision': 1.0, 'initial_access_recall': 1.0, 'initial_access_f1_score': 1.0, 'discovery_precision': 0.0, 'discovery_recall': 0.0, 'discovery_f1_score': 0.0, 'command_and_control_precision': 0.0, 'command_and_control_recall': 0.0, 'command_and_control_f1_score': 0.0, 'impact_precision': 0.0, 'impact_recall': 0.0, 'impact_f1_score': 0.0, 'persistence_precision': 1.0, 'persistence_recall': 1.0, 'persistence_f1_score': 1.0, 'privilege_escalation_precision': 0.0, 'privilege_escalation_recall': 0.0, 'privilege_escalation_f1_score': 0.0}"
0805590cefbc,"['INITIAL_ACCESS', 'EXECUTION', 'PERSISTENCE', 'PRIVILEGE_ESCALATION']","['PERSISTENCE', 'INITIAL_ACCESS', 'COMMAND_AND_CONTROL', 'DISCOVERY']","{'execution_precision': 0.0, 'execution_recall': 0.0, 'execution_f1_score': 0.0, 'initial_access_precision': 1.0, 'initial_access_recall': 1.0, 'initial_access_f1_score': 1.0, 'discovery_precision': 0.0, 'discovery_recall': 0.0, 'discovery_f1_score': 0.0, 'command_and_control_precision': 0.0, 'command_and_control_recall': 0.0, 'command_and_control_f1_score': 0.0, 'persistence_precision': 1.0, 'persistence_recall': 1.0, 'persistence_f1_score': 1.0, 'privilege_escalation_precision': 0.0, 'privilege_escalation_recall': 0.0, 'privilege_escalation_f1_score': 0.0}"
bf1a007a2dcf,"['INITIAL_ACCESS', 'EXECUTION', 'PERSISTENCE', 'PRIVILEGE_ESCALATION']","['COMMAND_AND_CONTROL', 'INITIAL_ACCESS', 'DISCOVERY']","{'command_and_control_precision': 0.0, 'command_and_control_recall': 0.0, 'command_and_control_f1_score': 0.0, 'privilege_escalation_precision': 0.0, 'privilege_escalation_recall': 0.0, 'privilege_escalation_f1_score': 0.0, 'execution_precision': 0.0, 'execution_recall': 0.0, 'execution_f1_score': 0.0, 'persistence_precision': 0.0, 'persistence_recall': 0.0, 'persistence_f1_score': 0.0, 'initial_access_precision': 1.0, 'initial_access_recall': 1.0, 'initial_access_f1_score': 1.0, 'discovery_precision': 0.0, 'discovery_recall': 0.0, 'discovery_f1_score': 0.0}"
d71014776411,"['INITIAL_ACCESS', 'DISCOVERY']","['COMMAND_AND_CONTROL', 'INITIAL_ACCESS', 'DISCOVERY']","{'command_and_control_precision': 0.0, 'command_and_control_recall': 0.0, 'command_and_control_f1_score': 0.0, 'initial_access_precision': 1.0, 'initial_access_recall': 1.0, 'initial_access_f1_score': 1.0, 'discovery_precision': 1.0, 'discovery_recall': 1.0, 'discovery_f1_score': 1.0}"
9915b874c4bc,"['INITIAL_ACCESS', 'EXECUTION', 'PERSISTENCE', 'PRIVILEGE_ESCALATION']","['INITIAL_ACCESS', 'DISCOVERY', 'COMMAND_AND_CONTROL', 'IMPACT', 'PERSISTENCE']","{'execution_precision': 0.0, 'execution_recall': 0.0, 'execution_f1_score': 0.0, 'initial_access_precision': 1.0, 'initial_access_recall': 1.0, 'initial_access_f1_score': 1.0, 'discovery_precision': 0.0, 'discovery_recall': 0.0, 'discovery_f1_score': 0.0, 'command_and_control_precision': 0.0, 'command_and_control_recall': 0.0, 'command_and_control_f1_score': 0.0, 'impact_precision': 0.0, 'impact_recall': 0.0, 'impact_f1_score': 0.0, 'persistence_precision': 1.0, 'persistence_recall': 1.0, 'persistence_f1_score': 1.0, 'privilege_escalation_precision': 0.0, 'privilege_escalation_recall': 0.0, 'privilege_escalation_f1_score': 0.0}"
d8eb3d0e9192,"['INITIAL_ACCESS', 'EXECUTION', 'PERSISTENCE', 'PRIVILEGE_ESCALATION']","['INITIAL_ACCESS', 'DISCOVERY', 'COMMAND_AND_CONTROL', 'IMPACT', 'PERSISTENCE']","{'execution_precision': 0.0, 'execution_recall': 0.0, 'execution_f1_score': 0.0, 'initial_access_precision': 1.0, 'initial_access_recall': 1.0, 'initial_access_f1_score': 1.0, 'discovery_precision': 0.0, 'discovery_recall': 0.0, 'discovery_f1_score': 0.0, 'command_and_control_precision': 0.0, 'command_and_control_recall': 0.0, 'command_and_control_f1_score': 0.0, 'impact_precision': 0.0, 'impact_recall': 0.0, 'impact_f1_score': 0.0, 'persistence_precision': 1.0, 'persistence_recall': 1.0, 'persistence_f1_score': 1.0, 'privilege_escalation_precision': 0.0, 'privilege_escalation_recall': 0.0, 'privilege_escalation_f1_score': 0.0}"
8a01eda84d97,"['INITIAL_ACCESS', 'EXECUTION', 'DISCOVERY']","['COMMAND_AND_CONTROL', 'INITIAL_ACCESS', 'DISCOVERY']","{'command_and_control_precision': 0.0, 'command_and_control_recall': 0.0, 'command_and_control_f1_score': 0.0, 'execution_precision': 0.0, 'execution_recall': 0.0, 'execution_f1_score': 0.0, 'initial_access_precision': 1.0, 'initial_access_recall': 1.0, 'initial_access_f1_score': 1.0, 'discovery_precision': 1.0, 'discovery_recall': 1.0, 'discovery_f1_score': 1.0}"
442a1016a901,"['INITIAL_ACCESS', 'EXECUTION', 'PERSISTENCE', 'PRIVILEGE_ESCALATION']","['COMMAND_AND_CONTROL', 'INITIAL_ACCESS', 'DISCOVERY']","{'command_and_control_precision': 0.0, 'command_and_control_recall': 0.0, 'command_and_control_f1_score': 0.0, 'privilege_escalation_precision': 0.0, 'privilege_escalation_recall': 0.0, 'privilege_escalation_f1_score': 0.0, 'execution_precision': 0.0, 'execution_recall': 0.0, 'execution_f1_score': 0.0, 'persistence_precision': 0.0, 'persistence_recall': 0.0, 'persistence_f1_score': 0.0, 'initial_access_precision': 1.0, 'initial_access_recall': 1.0, 'initial_access_f1_score': 1.0, 'discovery_precision': 0.0, 'discovery_recall': 0.0, 'discovery_f1_score': 0.0}"
a3f51b2fe02e,"['INITIAL_ACCESS', 'EXECUTION', 'PERSISTENCE', 'PRIVILEGE_ESCALATION']","['INITIAL_ACCESS', 'DISCOVERY', 'COMMAND_AND_CONTROL', 'IMPACT', 'PERSISTENCE']","{'execution_precision': 0.0, 'execution_recall': 0.0, 'execution_f1_score': 0.0, 'initial_access_precision': 1.0, 'initial_access_recall': 1.0, 'initial_access_f1_score': 1.0, 'discovery_precision': 0.0, 'discovery_recall': 0.0, 'discovery_f1_score': 0.0, 'command_and_control_precision': 0.0, 'command_and_control_recall': 0.0, 'command_and_control_f1_score': 0.0, 'impact_precision': 0.0, 'impact_recall': 0.0, 'impact_f1_score': 0.0, 'persistence_precision': 1.0, 'persistence_recall': 1.0, 'persistence_f1_score': 1.0, 'privilege_escalation_precision': 0.0, 'privilege_escalation_recall': 0.0, 'privilege_escalation_f1_score': 0.0}"
55c331d55302,"['INITIAL_ACCESS', 'EXECUTION', 'PERSISTENCE', 'PRIVILEGE_ESCALATION']","['PERSISTENCE', 'INITIAL_ACCESS', 'COMMAND_AND_CONTROL', 'DISCOVERY']","{'execution_precision': 0.0, 'execution_recall': 0.0, 'execution_f1_score': 0.0, 'initial_access_precision': 1.0, 'initial_access_recall': 1.0, 'initial_access_f1_score': 1.0, 'discovery_precision': 0.0, 'discovery_recall': 0.0, 'discovery_f1_score': 0.0, 'command_and_control_precision': 0.0, 'command_and_control_recall': 0.0, 'command_and_control_f1_score': 0.0, 'persistence_precision': 1.0, 'persistence_recall': 1.0, 'persistence_f1_score': 1.0, 'privilege_escalation_precision': 0.0, 'privilege_escalation_recall': 0.0, 'privilege_escalation_f1_score': 0.0}"
